title,id,link,price,description,stars,reviews
Asus VivoBook X441NA-GA190,545,/test-sites/e-commerce/allinone/product/545,$295.99,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",3,14
Prestigio SmartBook 133S Dark Grey,546,/test-sites/e-commerce/allinone/product/546,$299.00,"Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",2,8
Prestigio SmartBook 133S Gold,547,/test-sites/e-commerce/allinone/product/547,$299.00,"Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",4,12
Aspire E1-510,517,/test-sites/e-commerce/allinone/product/517,$306.99,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",3,2
Lenovo V110-15IAP,548,/test-sites/e-commerce/allinone/product/548,$321.94,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",3,5
Lenovo V110-15IAP,549,/test-sites/e-commerce/allinone/product/549,$356.49,"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd",2,6
Hewlett Packard 250 G6 Dark Ash Silver,550,/test-sites/e-commerce/allinone/product/550,$364.46,"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS",1,12
Acer Aspire 3 A315-31 Black,551,/test-sites/e-commerce/allinone/product/551,$372.70,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",2,2
Acer Aspire A315-31-C33J,552,/test-sites/e-commerce/allinone/product/552,$379.94,"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG",2,0
Acer Aspire ES1-572 Black,553,/test-sites/e-commerce/allinone/product/553,$379.95,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",4,9
Acer Aspire 3 A315-31 Black,554,/test-sites/e-commerce/allinone/product/554,$391.48,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",4,10
Acer Aspire 3 A315-21,555,/test-sites/e-commerce/allinone/product/555,$393.88,"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux",3,9
Asus VivoBook Max,530,/test-sites/e-commerce/allinone/product/530,$399.00,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home",1,4
Asus VivoBook E502NA-GO022T Dark Blue,556,/test-sites/e-commerce/allinone/product/556,$399.99,"Asus VivoBook E502NA-GO022T Dark Blue, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",4,3
Lenovo ThinkPad E31-80,557,/test-sites/e-commerce/allinone/product/557,$404.23,"Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home",1,12
Acer Aspire 3 A315-31 Black,558,/test-sites/e-commerce/allinone/product/558,$408.98,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",4,10
Lenovo V110-15ISK,559,/test-sites/e-commerce/allinone/product/559,$409.63,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home",3,9
Acer Aspire ES1-732 Black,560,/test-sites/e-commerce/allinone/product/560,$410.46,"Acer Aspire ES1-732 Black, 17.3"" HD+, Celeron, N3350, 4GB, 1TB, Windows 10 Home",4,14
Asus VivoBook 15 X540NA-GQ026T,561,/test-sites/e-commerce/allinone/product/561,$410.66,"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",4,4
Packard 255 G2,516,/test-sites/e-commerce/allinone/product/516,$416.99,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",2,2
Asus EeeBook R416NA-FA014T,562,/test-sites/e-commerce/allinone/product/562,$433.30,"Asus EeeBook R416NA-FA014T, 14"" FHD, Pentium N4200, 4GB, 128GB eMMC, Windows 10 Home, Eng kbd",1,1
Acer Aspire 3 A315-51,563,/test-sites/e-commerce/allinone/product/563,$436.29,"Acer Aspire 3 A315-51, 15.6"" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home",1,1
Acer Aspire ES1-572 Black,564,/test-sites/e-commerce/allinone/product/564,$436.29,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 500GB, Windows 10 Home",1,2
