description,id,link,price,reviews,stars,title
"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",545,/test-sites/e-commerce/allinone/product/545,$295.99,14,3.0,Asus VivoBook X441NA-GA190
"Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",546,/test-sites/e-commerce/allinone/product/546,$299.00,8,2.0,Prestigio SmartBook 133S Dark Grey
"Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",547,/test-sites/e-commerce/allinone/product/547,$299.00,12,4.0,Prestigio SmartBook 133S Gold
"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",517,/test-sites/e-commerce/allinone/product/517,$306.99,2,3.0,Aspire E1-510
"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",548,/test-sites/e-commerce/allinone/product/548,$321.94,5,3.0,Lenovo V110-15IAP
"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd",549,/test-sites/e-commerce/allinone/product/549,$356.49,6,2.0,Lenovo V110-15IAP
"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS",550,/test-sites/e-commerce/allinone/product/550,$364.46,12,1.0,Hewlett Packard 250 G6 Dark Ash Silver
"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",551,/test-sites/e-commerce/allinone/product/551,$372.70,2,2.0,Acer Aspire 3 A315-31 Black
"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG",552,/test-sites/e-commerce/allinone/product/552,$379.94,0,2.0,Acer Aspire A315-31-C33J
"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",553,/test-sites/e-commerce/allinone/product/553,$379.95,9,4.0,Acer Aspire ES1-572 Black
"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",554,/test-sites/e-commerce/allinone/product/554,$391.48,10,4.0,Acer Aspire 3 A315-31 Black
"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux",555,/test-sites/e-commerce/allinone/product/555,$393.88,9,3.0,Acer Aspire 3 A315-21
"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home",530,/test-sites/e-commerce/allinone/product/530,$399.00,4,1.0,Asus VivoBook Max
"Asus VivoBook E502NA-GO022T Dark Blue, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",556,/test-sites/e-commerce/allinone/product/556,$399.99,3,4.0,Asus VivoBook E502NA-GO022T Dark Blue
"Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home",557,/test-sites/e-commerce/allinone/product/557,$404.23,12,1.0,Lenovo ThinkPad E31-80
"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",558,/test-sites/e-commerce/allinone/product/558,$408.98,10,4.0,Acer Aspire 3 A315-31 Black
"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home",559,/test-sites/e-commerce/allinone/product/559,$409.63,9,3.0,Lenovo V110-15ISK
"Acer Aspire ES1-732 Black, 17.3"" HD+, Celeron, N3350, 4GB, 1TB, Windows 10 Home",560,/test-sites/e-commerce/allinone/product/560,$410.46,14,4.0,Acer Aspire ES1-732 Black
