title,id,link,price,description,stars,reviews
Asus VivoBook X441NA-GA190,545,https://webscraper.io/test-sites/e-commerce/allinone/product/545,$295.99,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",3,14
Prestigio SmartBook 133S Dark Grey,546,https://webscraper.io/test-sites/e-commerce/allinone/product/546,$299.00,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",2,8
Prestigio SmartBook 133S Gold,547,https://webscraper.io/test-sites/e-commerce/allinone/product/547,$299.00,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",4,12
Aspire E1-510,517,https://webscraper.io/test-sites/e-commerce/allinone/product/517,$306.99,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",3,2
Lenovo V110-15IAP,548,https://webscraper.io/test-sites/e-commerce/allinone/product/548,$321.94,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",3,5
Lenovo V110-15IAP,549,https://webscraper.io/test-sites/e-commerce/allinone/product/549,$356.49,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",2,6
Hewlett Packard 250 G6 Dark Ash Silver,550,https://webscraper.io/test-sites/e-commerce/allinone/product/550,$364.46,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",1,12
Acer Aspire 3 A315-31 Black,551,https://webscraper.io/test-sites/e-commerce/allinone/product/551,$372.70,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",2,2
Acer Aspire A315-31-C33J,552,https://webscraper.io/test-sites/e-commerce/allinone/product/552,$379.94,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",2,0
Acer Aspire ES1-572 Black,553,https://webscraper.io/test-sites/e-commerce/allinone/product/553,$379.95,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",4,9
Acer Aspire 3 A315-31 Black,554,https://webscraper.io/test-sites/e-commerce/allinone/product/554,$391.48,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",4,10
